sector,contract_type,barra,months_observed,avg_industrial_exposure_score,p90_industrial_exposure_score,max_industrial_exposure_score,priority_months,watchlist_months,low_info_months,spot_share,monthly_mwh,dominant_driver,watchlist_share,profile_priority_score,signal_stability_label_es
agroindustry_seasonal,balanced_30pct_spot_ppa,CHARCANI IV 33,36,34.11,46.29,50.07,0,0,0,0.3,6000,Ventanas críticas,0.0,34.43,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,COTARUSE 220,36,33.78,44.7,51.07,0,0,0,0.3,6000,Ventanas críticas,0.0,34.04,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,HUALLANCA 138,36,33.7,45.88,51.21,0,0,0,0.3,6000,Nivel de precio,0.0,34.32,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,PAQUILLUSI 220,9,33.6,43.04,48.96,0,0,0,0.3,6000,Volatilidad,0.0,33.22,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,HUANUCO 138,36,33.23,44.46,48.96,0,0,0,0.3,6000,Nivel de precio,0.0,33.42,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,PIEDRA BLANCA 34.5,36,32.41,44.72,49.19,0,0,0,0.3,6000,Nivel de precio,0.0,33.15,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,SUNNY 220,4,32.4,37.25,37.66,0,0,0,0.3,6000,Volatilidad,0.0,29.54,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,TUPURI 22.9,36,32.29,49.67,57.06,0,0,0,0.3,6000,Ventanas críticas,0.0,35.51,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,SAN GABAN 138,36,32.17,49.07,55.89,0,0,0,0.3,6000,Ventanas críticas,0.0,35.13,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,PARAMONGA NUEVA 220,36,31.63,42.09,50.77,0,0,0,0.3,6000,Ventanas críticas,0.0,32.37,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,VIZCARRA 220,36,31.45,44.57,51.79,0,0,0,0.3,6000,Ventanas críticas,0.0,33.06,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,PARAMONGA NUEVA 138,36,31.39,41.73,51.03,0,0,0,0.3,6000,Ventanas críticas,0.0,32.21,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,OQUENDO 60,36,31.37,42.07,51.2,0,0,0,0.3,6000,Ventanas críticas,0.0,32.31,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,PARAMONGA EXISTENTE 138,36,31.22,41.45,51.0,0,0,0,0.3,6000,Ventanas críticas,0.0,32.06,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,MEDIO MUNDO 220,36,30.95,40.85,51.21,0,0,0,0.3,6000,Ventanas críticas,0.0,31.82,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,PACHACHACA50,36,30.49,40.34,43.98,0,0,0,0.3,6000,Ventanas críticas,0.0,30.4,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,MARCONA 220,36,29.8,38.03,44.97,0,0,0,0.3,6000,Ventanas críticas,0.0,29.66,Variable
